company_name,website,segment,what_they_make,source
Axiom Chemicals,https://www.axiomchemicals.in/ ,performance chemicals,"chemical manufacturer, exporter, and supplier",google
Angel Chemicals Pvt. Ltd.,https://angelchembaroda.com/ ,performance chemicals,"manufacturing and supplying a wide range of Water Treatment Chemical, Water Treatment Plant, Boiler Water Chemical, Water Analysis Equipment, etc", google
Maxwell Additives Pvt. Ltd.,https://maxwelladditives.com/ ,performance chemicals,"Water treatment, corrosion inhibitors, phosphonates, antiscalants, dispersant polymers",google
LAVEEK ADDCHEM,https://laveekaddchem.com/ ,performance chemicals,"Polymer Stabilization,supplying Additives and Concentrates",google
Allchem Lifescience Ltd,https://www.allchemlifescience.com/ ,specialty chemicals,Pharmaceuticals and specialty chemicals,google
Simalin Chemical Industries Private Ltd,https://simalin.com/ ,performance chemicals,"polymar additives, resins, water treatment chemicals",google
Destiny Chemicals,https://destinychemicals.co.in/ ,specialty chemicals,"Potassium Chemical Compounds, Ammonium Chemical Compounds, Calcium Chemical Compounds, Sodium Chemical Compounds",google
P K Chlorochem Private Limited,https://www.pkchlorochem.com/ ,specialty chemicals,"Pharmaceutical industry, Dyestuff, Agrochemicals industry",google
Seabert Chemicals Pvt. Ltd.,https://seabertchemicals.com/ ,specialty chemicals,"pharma ingredients, personal care, food and nutrition, feed fertilizer",google
Anjanee Chemical Industries,https://www.anjaneechemical.in/ ,performance chemicals,"disinfection, deodorizing, water treatment, endodontic, nerve agent neutralization",google
Best value chem pvt Ltd,https://www.bestvaluechem.com/ ,specialty chemicals,"specialty chemicals, specializing in the science of Flavors, fragrances, Personal care & Pharma.",google
Divine Chemicals,https://www.divinechemicals.co.in/ ,performance chemicals,"Water Testing Kits, Sodium Hypochlorite Solution, Water Treatment Chemicals, Alum Chemical, etc.",google
Divya Chemicals,https://www.divyachem.com/ ,performance chemicals,"anti corrosive coating, industrial resin flooring, adhesive & sealant, construction chemicals",google
Sara Incorporation,https://www.saraincorporation.co.in/ ,performance chemicals,"Industrial Chemicals, Aluminum Chlorohydrate Powder, Poly Aluminium Chloride Powder, Potassium Chloride Powder, Potassium Nitrate Powder, Sodium Aluminate Liquid,",google
Technofill Additives,https://www.technofilladditives.com/ ,performance chemicals,"fluropolymers, polyisobutylene additives, additive masterbatches",google
R Chemine Products Private Limited,https://www.rchemine.com/ ,performance chemicals,"Functional Additives & Fillers for Plastics, Rubber, Paints, Coatings, Cosmetics & Printing Inks.",google
Annexe Chem Private Limited,https://annexechem.com/ ,specialty chemicals,"food-grade, pharma-grade, and lab-grade chemicals",google
Kredence Performance Materials(India) Pvt. Ltd.,http://kredencematerials.com/ ,specialty chemicals,specialty chemicals for the solar cell manufacturing industry,google
Kutch Chemicals Industries Limited,https://www.kcil.co.in/ ,specialty chemicals,"DYES INTERMEDIATES, CHLORINATED PARAFFIN, BENZENE BASED DERIVATIVES, and TOLUENE BASED DERIVATIVES",google
Globomotive,https://www.globomotive.com/ ,performance chemicals,"paints dryers, catalyst, Inks/pigments, stabilizers industrial chemicals",linkedin
Indiana Chem-Port,https://www.indianachem-port.com/ ,specialty chemicals,"Fine Chemical, Bulk Reagents, Bulk Ingredients, ACS Reagent, LR, AR & GR Reagent, Pharmacopoeia, Food & Nutraceutical, Ultra Pure Trace Metal, and inorganic fine chemical",linkedin
Aries Chetech,https://arieschemical.com/ ,performance chemicals,"water treatment chemicals, corrosion inhibitors, polymers, phosphonates, quaternary ammonium compounds, aerosol sprays.",google
Transpek Industry Ltd.,http://transpek.com/ ,specialty chemicals,"Chlorination (Inorganic Chemicals), Acid Chlorination with Thionyl Chloride (Acid Chlorides & Fatty Acid Chlorides), Alcohol Chlorination with Thionyl Chloride (Alkyl Chlorides), Friedel-Crafts Reactions, Sulfonation and Amidation.",google
Avid Organics,https://www.avidorganics.net/en ,specialty chemicals,"Carboxylic Acids & Esters, Amino Acids, Disinfectant and Antiseptics, Fungistatic/ Bacteriostatic Agents, Flavors & Fragrances, Personal Care, Nutrition, Pharmaceutical, Agrochemical, Industrial Sectors, Glycine, Glycolic Acid, Taurine, and Vanillin",linkedin
Sulksh Chemicals,http://www.sulaksh-chemicals.com/ ,specialty chemicals,"Industrial Chemicals, Speciality Chemicals, Inorganic Chemicals, and Organic Chemicals",linkedin
SDI Group,https://www.sdichem.com/ ,specialty chemicals,"specialty chemicals, dyes, pigments, and electroplating.",linkedin
Acelor Industries Pvt. Ltd.,https://www.acelor.in/ ,specialty chemicals,"specialty and performance chemicals, serving industries in agrochemicals, road construction, and custom applications.",linkedin
Adroit Naturals Pvt. Ltd.,https://adroitnaturals.com/ ,specialty chemicals,"Pharmaceutical Grade Pure Nicotine, Nicotine Salts Derivatives, Chemically Synthesized APIs, Pharmaceutical Intermediates & Specialty Chemicals.",linkedin
Chemtech Intermediates Ltd.,https://cipl.co/ ,specialty chemicals,Pharmaceutical chemicals,linkedin
Kranti Chemicals,https://www.krantichemicals.com/ ,specialty chemicals,"Leading Chemical Exporter, Chemical Manufacturer, KrantiChemicals , ChemicalManufacturer, ChemicalExporter, CustomSolutions, IndustrialManufacturing, TrustedSupplier, QualityProducts, and India",linkedin
CLEVER PATHWAY PVT LTD,http://www.cleverpathway.com/ ,specialty chemicals,"ndustrial chemicals, phase transfer catalyst, quats, compounds, pharmaceutical api's, bulk drugs, formulation, laboratory chemicals",linkedin
