company_name,website,City,segment,what_they_make, revenue_band ,status,out_reason
Axiom Chemicals,https://www.axiomchemicals.in/ ,Vadodara,performance chemicals,"chemical manufacturer, exporter, and supplier",Rs.300-500Cr,in,
Angel Chemicals Pvt. Ltd.,https://angelchembaroda.com/ ,Vadodara,performance chemicals,"manufacturing and supplying a wide range of Water Treatment Chemical, Water Treatment Plant, Boiler Water Chemical, Water Analysis Equipment, etc", <Rs.10Cr ,in,
Maxwell Additives Pvt. Ltd.,https://maxwelladditives.com/ ,Vadodara,performance chemicals,"Water treatment, corrosion inhibitors, phosphonates, antiscalants, dispersant polymers", Rs.10-50Cr ,in,
LAVEEK ADDCHEM,https://laveekaddchem.com/ ,Vadodara,performance chemicals,"Polymer Stabilization,supplying Additives and Concentrates", Rs.10-50Cr ,in,
Allchem Lifescience Ltd,https://www.allchemlifescience.com/ ,Vadodara,specialty chemicals,Pharmaceuticals and specialty chemicals, Rs.100-300Cr ,in,
Simalin Chemical Industries Private Ltd,https://simalin.com/ ,Vadodara,performance chemicals,"polymar additives, resins, water treatment chemicals", Rs.300-500Cr ,in,
Destiny Chemicals,https://destinychemicals.co.in/ ,Vadodara,specialty chemicals,"Potassium Chemical Compounds, Ammonium Chemical Compounds, Calcium Chemical Compounds, Sodium Chemical Compounds", Rs.10-50Cr ,in,
P K Chlorochem Private Limited,https://www.pkchlorochem.com/ ,Vadodara,specialty chemicals,"Pharmaceutical industry, Dyestuff, Agrochemicals industry", Rs.10-50Cr ,in,
Seabert Chemicals Pvt. Ltd.,https://seabertchemicals.com/ ,Vadodara,specialty chemicals,"pharma ingredients, personal care, food and nutrition, feed fertilizer", <Rs.10Cr ,in,
Anjanee Chemical Industries,https://www.anjaneechemical.in/ ,Vadodara,performance chemicals,"disinfection, deodorizing, water treatment, endodontic, nerve agent neutralization",<Rs.3Cr,out,too small
Best value chem pvt Ltd,https://www.bestvaluechem.com/ ,Vadodara,specialty chemicals,"specialty chemicals, specializing in the science of Flavors, fragrances, Personal care & Pharma.", >Rs.1000Cr ,out,too large
Divine Chemicals,https://www.divinechemicals.co.in/ ,Vadodara,performance chemicals,"Water Testing Kits, Sodium Hypochlorite Solution, Water Treatment Chemicals, Alum Chemical, etc.",<Rs.3Cr,out,too small
Divya Chemicals,https://www.divyachem.com/ ,Vadodara,performance chemicals,"anti corrosive coating, industrial resin flooring, adhesive & sealant, construction chemicals", Rs.10-50Cr ,in,
