company_name,website,City,segment,what_they_make, revenue_band 
Axiom Chemicals,https://www.axiomchemicals.in/ ,Vadodara,performance chemicals,"chemical manufacturer, exporter, and supplier",Rs.300-500Cr
Angel Chemicals Pvt. Ltd.,https://angelchembaroda.com/ ,Vadodara,performance chemicals,"manufacturing and supplying a wide range of Water Treatment Chemical, Water Treatment Plant, Boiler Water Chemical, Water Analysis Equipment, etc", <Rs.10Cr 
Maxwell Additives Pvt. Ltd.,https://maxwelladditives.com/ ,Vadodara,performance chemicals,"Water treatment, corrosion inhibitors, phosphonates, antiscalants, dispersant polymers", Rs.10-50Cr 
LAVEEK ADDCHEM,https://laveekaddchem.com/ ,Vadodara,performance chemicals,"Polymer Stabilization,supplying Additives and Concentrates", Rs.10-50Cr 
Allchem Lifescience Ltd,https://www.allchemlifescience.com/ ,Vadodara,specialty chemicals,Pharmaceuticals and specialty chemicals, Rs.100-300Cr 
Simalin Chemical Industries Private Ltd,https://simalin.com/ ,Vadodara,performance chemicals,"polymar additives, resins, water treatment chemicals", Rs.300-500Cr 
Destiny Chemicals,https://destinychemicals.co.in/ ,Vadodara,specialty chemicals,"Potassium Chemical Compounds, Ammonium Chemical Compounds, Calcium Chemical Compounds, Sodium Chemical Compounds", Rs.10-50Cr 
P K Chlorochem Private Limited,https://www.pkchlorochem.com/ ,Vadodara,specialty chemicals,"Pharmaceutical industry, Dyestuff, Agrochemicals industry", Rs.10-50Cr 
Seabert Chemicals Pvt. Ltd.,https://seabertchemicals.com/ ,Vadodara,specialty chemicals,"pharma ingredients, personal care, food and nutrition, feed fertilizer", <Rs.10Cr 
Divya Chemicals,https://www.divyachem.com/ ,Vadodara,performance chemicals,"anti corrosive coating, industrial resin flooring, adhesive & sealant, construction chemicals", Rs.10-50Cr 
Sara Incorporation,https://www.saraincorporation.co.in/ ,Vadodara,performance chemicals,"Industrial Chemicals, Aluminum Chlorohydrate Powder, Poly Aluminium Chloride Powder, Potassium Chloride Powder, Potassium Nitrate Powder, Sodium Aluminate Liquid,", Unknown 
Technofill Additives,https://www.technofilladditives.com/ ,Vadodara,performance chemicals,"fluropolymers, polyisobutylene additives, additive masterbatches", <Rs.10Cr 
R Chemine Products Private Limited,https://www.rchemine.com/ ,Vadodara,performance chemicals,"Functional Additives & Fillers for Plastics, Rubber, Paints, Coatings, Cosmetics & Printing Inks.", Rs.10-50Cr 
Annexe Chem Private Limited,https://annexechem.com/ ,Vadodara,specialty chemicals,"food-grade, pharma-grade, and lab-grade chemicals", Rs.10-50Cr 
Kredence Performance Materials(India) Pvt. Ltd.,http://kredencematerials.com/ ,Vadodara,specialty chemicals,specialty chemicals for the solar cell manufacturing industry, Rs.50-100Cr 
Globomotive,https://www.globomotive.com/ ,Vadodara,performance chemicals,"paints dryers, catalyst, Inks/pigments, stabilizers industrial chemicals", Rs.10-50Cr 
Indiana Chem-Port,https://www.indianachem-port.com/ ,Vadodara,specialty chemicals,"Fine Chemical, Bulk Reagents, Bulk Ingredients, ACS Reagent, LR, AR & GR Reagent, Pharmacopoeia, Food & Nutraceutical, Ultra Pure Trace Metal, and inorganic fine chemical", Rs.10-50Cr 
Aries Chemtech,https://arieschemical.com/ ,Vadodara,performance chemicals,"water treatment chemicals, corrosion inhibitors, polymers, phosphonates, quaternary ammonium compounds, aerosol sprays.", Rs.100-300Cr 
Transpek Industry Ltd.,http://transpek.com/ ,Vadodara,specialty chemicals,"Chlorination (Inorganic Chemicals), Acid Chlorination with Thionyl Chloride (Acid Chlorides & Fatty Acid Chlorides), Alcohol Chlorination with Thionyl Chloride (Alkyl Chlorides), Friedel-Crafts Reactions, Sulfonation and Amidation.", Rs.300-500Cr 
Avid Organics,https://www.avidorganics.net/en ,Vadodara,specialty chemicals,"Carboxylic Acids & Esters, Amino Acids, Disinfectant and Antiseptics, Fungistatic/ Bacteriostatic Agents, Flavors & Fragrances, Personal Care, Nutrition, Pharmaceutical, Agrochemical, Industrial Sectors, Glycine, Glycolic Acid, Taurine, and Vanillin", Rs.50-100Cr 
Acelor Industries Pvt. Ltd.,https://www.acelor.in/ ,Vadodara,specialty chemicals,"specialty and performance chemicals, serving industries in agrochemicals, road construction, and custom applications.", <Rs.10Cr 
Adroit Naturals Pvt. Ltd.,https://adroitnaturals.com/ ,Vadodara,specialty chemicals,"Pharmaceutical Grade Pure Nicotine, Nicotine Salts Derivatives, Chemically Synthesized APIs, Pharmaceutical Intermediates & Specialty Chemicals.", Rs.50-100Cr 
Chemtech Intermediates Ltd.,https://cipl.co/ ,Vadodara,specialty chemicals,Pharmaceutical chemicals, Rs.100-300Cr 
Kranti Chemicals,https://www.krantichemicals.com/ ,Vadodara,specialty chemicals,"Leading Chemical Exporter, Chemical Manufacturer, KrantiChemicals , ChemicalManufacturer, ChemicalExporter, CustomSolutions, IndustrialManufacturing, TrustedSupplier, QualityProducts, and India", Rs.50-100Cr 
CLEVER PATHWAY PVT LTD,http://www.cleverpathway.com/ ,Vadodara,specialty chemicals,"ndustrial chemicals, phase transfer catalyst, quats, compounds, pharmaceutical api's, bulk drugs, formulation, laboratory chemicals", <Rs.10Cr 
